Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol (mg), Sodium (mg), Total Carbohydrates (g) , Sugars (g), Protein (g) ,Caffeine (mg)
Starbucks,Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,80,0.1,17,0,20,17,2,90
Starbucks,Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande Nonfat Milk,110,2,24,0,30,24,2,90
Starbucks,Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,120,1.5,24,5,35,24,2,125
Starbucks,Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,110,0.1,23,0,30,22,2,125
Starbucks,Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti Nonfat Milk,160,3,36,0,50,36,4,125
Starbucks,Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,180,2.5,36,10,55,36,4,170
Starbucks,Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,170,0.2,34,0,45,33,3,170
Starbucks,Beverages,Shaken Iced TazoTea (With Classic Syrup),Tall,60,4,15,0,0,15,0,170
Starbucks,Beverages,Banana Chocolate Smoothie,2% Milk,300,3.5,53,15,160,34,20,15
Starbucks,Beverages,Banana Chocolate Smoothie,Soymilk,290,0.2,51,5,150,31,19,15
Starbucks,Beverages,Orange Mango Banana Smoothie,Grande Nonfat Milk,260,5,54,5,120,37,16,15
Starbucks,Beverages,Orange Mango Banana Smoothie,2% Milk,270,4,53,5,125,37,16,0
Starbucks,Beverages,Orange Mango Banana Smoothie,Soymilk,270,0,53,5,120,36,15,0
Starbucks,Beverages,Strawberry Banana Smoothie,Grande Nonfat Milk,290,0.1,58,5,125,41,16,0
Starbucks,Beverages,Strawberry Banana Smoothie,2% Milk,290,0.1,58,5,125,41,16,0
Starbucks,Beverages,Strawberry Banana Smoothie,Soymilk,290,0.1,58,5,120,40,16,0
Starbucks,Coffee & Tea,Coffee,Tall Nonfat Milk,160,1,36,0,160,36,3,0
Starbucks,Coffee & Tea,Coffee,Whole Milk,180,1,36,10,160,36,3,70
Starbucks,Coffee & Tea,Coffee,Soymilk,160,0.1,35,0,150,34,2,70
Starbucks,Coffee & Tea,Coffee,Grande Nonfat Milk,220,1.5,51,0,210,50,4,70
