Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein
McDonald's,Coffee & Tea,Frappé Caramel (Small),400ml,450,19,65,125,64,57,7
McDonald's,Coffee & Tea,Frappé Caramel (Medium),500ml,550,23,80,160,79,71,9
McDonald's,Coffee & Tea,Frappé Caramel (Large),700ml,670,27,95,190,96,88,11
McDonald's,Coffee & Tea,Frappé Chocolate Chip (Small),400ml,530,23,65,135,76,67,8
McDonald's,Coffee & Tea,Frappé Chocolate Chip (Medium),500ml,630,26,80,160,91,81,9
McDonald's,Coffee & Tea,Frappé Chocolate Chip (Large),700ml,760,31,95,200,111,99,12
McDonald's,Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),400ml,220,0.5,5,40,50,44,2
McDonald's,Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),500ml,260,1,5,50,62,54,3
McDonald's,Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),700ml,340,1,5,65,79,70,4
McDonald's,Smoothies & Shakes,Strawberry Banana Smoothie (Small),400ml,210,0.5,5,50,47,44,3
McDonald's,Smoothies & Shakes,Strawberry Banana Smoothie (Medium),500ml,250,1,5,60,58,54,4
McDonald's,Smoothies & Shakes,Strawberry Banana Smoothie (Large),700ml,330,1,5,80,74,70,5
McDonald's,Smoothies & Shakes,Mango Pineapple Smoothie (Small),400ml,210,0.5,5,40,50,46,2
McDonald's,Smoothies & Shakes,Mango Pineapple Smoothie (Medium),500ml,260,1,5,45,61,56,3
McDonald's,Smoothies & Shakes,Mango Pineapple Smoothie (Large),700ml,340,1,5,60,78,72,4
McDonald's,Smoothies & Shakes,Vanilla Shake (Small),400ml,530,15,60,160,86,63,11
McDonald's,Smoothies & Shakes,Vanilla Shake (Medium),500ml,660,19,75,200,109,81,14
McDonald's,Smoothies & Shakes,Vanilla Shake (Large),700ml,820,23,90,260,135,101,18
McDonald's,Smoothies & Shakes,Strawberry Shake (Small),400ml,550,16,60,160,90,79,12
McDonald's,Smoothies & Shakes,Strawberry Shake (Medium),500ml,690,20,75,210,114,100,15
McDonald's,Smoothies & Shakes,Strawberry Shake (Large),700ml,850,24,90,260,140,123,18
McDonald's,Smoothies & Shakes,Chocolate Shake (Small),400ml,560,16,60,240,91,77,12
McDonald's,Smoothies & Shakes,Chocolate Shake (Medium),500ml,700,20,75,300,114,97,15
McDonald's,Smoothies & Shakes,Chocolate Shake (Large),700ml,850,23,85,380,141,120,19
McDonald's,Smoothies & Shakes,Shamrock Shake (Medium),500ml,660,19,75,210,109,93,14
McDonald's,Smoothies & Shakes,Shamrock Shake (Large),700ml,820,23,90,260,135,115,18
McDonald's,Smoothies & Shakes,McFlurry with M&M’s Candies (Small),310 g,650,23,50,180,96,89,13
McDonald's,Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),460 g,930,33,75,260,139,128,20
McDonald's,Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),207 g,430,15,35,120,64,59,9
McDonald's,Smoothies & Shakes,McFlurry with Oreo Cookies (Small),285 g,510,17,45,280,80,64,12
McDonald's,Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),381 g,690,23,55,380,106,85,15
McDonald's,Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),190 g,340,11,30,190,53,43,8
McDonald's,Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),403 g,810,32,60,400,114,103,21
McDonald's,Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),202 g,410,16,30,200,57,51,10
